event_id,frame,site_id,site_state_before,site_state_after,reactants,products,associated_species_before,associated_species_after,evidence_bonds
5279,1188,LAS_Ga_01,bare,bare + assoc(C6H8O),[],"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",[],"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]","[{""edge_type"": ""adsorption"", ""action"": ""form"", ""i"": 576, ""j"": 578, ""distance"": 2.4168055740984964, ""threshold_form"": 2.475, ""threshold_break"": 2.772}]"
5308,1197,LAS_Ga_01,bare + assoc(C6H8O),bare,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",[],"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",[],"[{""edge_type"": ""adsorption"", ""action"": ""break"", ""i"": 576, ""j"": 578, ""distance"": 3.040393307140344, ""threshold_form"": 2.475, ""threshold_break"": 2.772}]"
