event_id,frame,type,reactants,products,delta_counts,evidence_bonds,confidence
791,21,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 99, ""j"": 315, ""distance"": 2.9793382271488538, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 475, ""j"": 548, ""distance"": 2.9392388817288873, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 29, ""j"": 542, ""distance"": 2.9435976283576935, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 229, ""j"": 367, ""distance"": 2.944080568580461, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
798,22,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 154, ""j"": 292, ""distance"": 2.9957373801256897, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 395, ""j"": 575, ""distance"": 2.9636699089871414, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 124, ""j"": 286, ""distance"": 2.9853959207005554, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 109, ""j"": 331, ""distance"": 2.9614857108094728, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 447, ""j"": 549, ""distance"": 2.9852253461028346, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 447, ""j"": 555, ""distance"": 2.9965488710104213, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
801,23,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 459, ""j"": 547, ""distance"": 2.918143279878821, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 344, ""j"": 496, ""distance"": 2.919780504353536, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
805,24,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 450, ""j"": 548, ""distance"": 2.8584170536847444, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 209, ""j"": 359, ""distance"": 2.975111423035994, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 280, ""j"": 453, ""distance"": 2.97418114533162, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
810,25,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 511, ""j"": 569, ""distance"": 2.921825644802261, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 306, ""j"": 502, ""distance"": 2.9798536734386776, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 34, ""j"": 541, ""distance"": 2.9759074180022584, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 154, ""j"": 280, ""distance"": 2.9034663743096134, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
817,26,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 479, ""j"": 541, ""distance"": 2.939874628793153, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 124, ""j"": 297, ""distance"": 2.966653755347118, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 388, ""j"": 530, ""distance"": 2.946037260567819, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 114, ""j"": 333, ""distance"": 2.976631682045809, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 74, ""j"": 324, ""distance"": 2.9951835243494074, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 134, ""j"": 292, ""distance"": 2.983124557883358, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
820,27,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 114, ""j"": 559, ""distance"": 2.986224645629511, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 214, ""j"": 574, ""distance"": 2.929943159286444, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
823,28,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 443, ""j"": 562, ""distance"": 2.9591698402772306, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 234, ""j"": 271, ""distance"": 2.989450676037372, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
826,29,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 399, ""j"": 537, ""distance"": 2.963602776778803, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 443, ""j"": 548, ""distance"": 2.939084600821727, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
829,30,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 527, ""j"": 538, ""distance"": 2.919191517346324, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 344, ""j"": 422, ""distance"": 2.9387297241329478, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
