frame,site_id,site_family,site_state_before,site_state_after,site_changed,has_transform,transform_event_ids,transform_types,transform_reactants,transform_products,associated_species_before,associated_species_after,coupling_type,link_strength,evidence_bonds
736,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[3543],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 337, ""j"": 576, ""distance"": 3.180112948113846, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 154, ""j"": 549, ""distance"": 3.150699974836093, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 410, ""j"": 556, ""distance"": 3.1987595487917533, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
760,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[3627],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 232, ""j"": 576, ""distance"": 2.4183027871506564, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 508, ""j"": 568, ""distance"": 3.1109208151389103, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 277, ""j"": 388, ""distance"": 3.1169473719627323, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 149, ""j"": 277, ""distance"": 2.96865760877589, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 219, ""j"": 555, ""distance"": 2.9966512457620267, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
785,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[3704],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 337, ""j"": 576, ""distance"": 2.4224511924131846, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 453, ""j"": 545, ""distance"": 2.969787870304312, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
796,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[3769],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 232, ""j"": 576, ""distance"": 3.0014106634145765, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 239, ""j"": 269, ""distance"": 2.984106566349811, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 468, ""j"": 542, ""distance"": 2.982812451486459, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
854,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[3999],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 337, ""j"": 576, ""distance"": 2.9835199997889106, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 159, ""j"": 283, ""distance"": 2.862223067106906, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1037,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[4704],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 289, ""j"": 483, ""distance"": 2.9628323863881296, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 359, ""j"": 459, ""distance"": 2.9233919649121134, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 427, ""j"": 576, ""distance"": 2.946720664173617, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 505, ""j"": 571, ""distance"": 3.1427445239945726, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 416, ""j"": 558, ""distance"": 2.9886905882919685, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1097,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[4924],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 428, ""j"": 576, ""distance"": 3.771042691659776, ""threshold_form"": 3.2805, ""threshold_break"": 3.7664999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 462, ""j"": 540, ""distance"": 2.9180204791674362, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 318, ""j"": 373, ""distance"": 2.9214028784706856, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 277, ""j"": 456, ""distance"": 3.115902595992917, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 306, ""j"": 413, ""distance"": 2.8873058120667072, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 149, ""j"": 277, ""distance"": 2.984900579965294, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1188,LAS_Ga_01,LAS_Ga,bare,bare + assoc(C6H8O),True,True,[5277],"[""adsorb/desorb/migrate""]","[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]""]","[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",[],"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",reaction_with_site_change,strong,"[{""edge_type"": ""adsorption"", ""action"": ""form"", ""i"": 576, ""j"": 578, ""distance"": 2.4168055740984964, ""threshold_form"": 2.475, ""threshold_break"": 2.772}]"
1197,LAS_Ga_01,LAS_Ga,bare + assoc(C6H8O),bare,True,True,[5306],"[""adsorb/desorb/migrate""]","[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]","[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]""]","[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",[],reaction_with_site_change,strong,"[{""edge_type"": ""adsorption"", ""action"": ""break"", ""i"": 576, ""j"": 578, ""distance"": 3.040393307140344, ""threshold_form"": 2.475, ""threshold_break"": 2.772}]"
1245,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[5512],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 338, ""j"": 576, ""distance"": 2.9710891150195247, ""threshold_form"": 3.1455, ""threshold_break"": 3.6115000000000004}]"
1247,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[5523],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 232, ""j"": 576, ""distance"": 2.355359103990738, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 483, ""j"": 542, ""distance"": 2.970482486387101, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 403, ""j"": 573, ""distance"": 2.994739337526061, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1250,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[5542],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 337, ""j"": 576, ""distance"": 2.1837372848631165, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 209, ""j"": 553, ""distance"": 3.082342859846211, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 453, ""j"": 545, ""distance"": 2.9887056131151986, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 229, ""j"": 367, ""distance"": 2.988256010159739, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1286,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[5666],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 428, ""j"": 576, ""distance"": 3.262695175185279, ""threshold_form"": 3.2805, ""threshold_break"": 3.7664999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 359, ""j"": 459, ""distance"": 2.978368272126429, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1381,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[6009],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 232, ""j"": 576, ""distance"": 2.970734113717784, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 69, ""j"": 552, ""distance"": 2.9874863985877522, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1400,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[6088],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 427, ""j"": 576, ""distance"": 2.429273844356377, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 496, ""j"": 572, ""distance"": 3.150042386896881, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 523, ""j"": 572, ""distance"": 3.1942415586058184, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 523, ""j"": 564, ""distance"": 2.956027133691064, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1424,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[6167],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 337, ""j"": 576, ""distance"": 3.235934421980152, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}]"
1491,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[6401],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 337, ""j"": 576, ""distance"": 2.4957769805124292, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 462, ""j"": 540, ""distance"": 2.9928560735738268, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 239, ""j"": 571, ""distance"": 2.95730281222047, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
1978,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[8128],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 257, ""j"": 410, ""distance"": 3.141171839001589, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 114, ""j"": 297, ""distance"": 2.9373964014958562, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 410, ""j"": 556, ""distance"": 2.949749422039722, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 338, ""j"": 576, ""distance"": 3.625390196189836, ""threshold_form"": 3.1455, ""threshold_break"": 3.6115000000000004}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 114, ""j"": 312, ""distance"": 3.1931992550504082, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
