event_id,frame,site_id,event_type,old_state,new_state,added_members,removed_members,associated_species_before,associated_species_after,evidence_bonds
5278,1188,LAS_Ga_01,site_state_change,bare,bare + assoc(C6H8O),"[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591]",[],[],"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]","[{""edge_type"": ""adsorption"", ""action"": ""form"", ""i"": 576, ""j"": 578, ""distance"": 2.4168055740984964, ""threshold_form"": 2.475, ""threshold_break"": 2.772}]"
5307,1197,LAS_Ga_01,site_state_change,bare + assoc(C6H8O),bare,[],"[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591]","[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]|ads""]",[],"[{""edge_type"": ""adsorption"", ""action"": ""break"", ""i"": 576, ""j"": 578, ""distance"": 3.040393307140344, ""threshold_form"": 2.475, ""threshold_break"": 2.772}]"
